month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
2,ดินแดง,990.0,979.0,0.0,12.0,0.0,856.0,0.0,5.0,1.0,26.0,0.0,41.0,0.0,0.0,0.0,30.0,0.0
2,ดุสิต,489.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,19.0,0.0,20.0,15.0,0.0,387.0,2.0
2,ตลิ่งชัน,712.0,288.0,1.0,0.0,0.0,463.0,26.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0
2,ทวีวัฒนา,458.0,139.0,0.0,32.0,3.0,10.0,1.0,1.0,31.0,230.0,0.0,0.0,1.0,0.0,0.0,151.0,2.0
2,ทุ่งครุ,447.0,446.0,0.0,266.0,356.0,18.0,23.0,0.0,248.0,379.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0
2,ธนบุรี,847.0,25.0,4.0,0.0,172.0,94.0,0.0,1.0,0.0,110.0,46.0,0.0,58.0,0.0,0.0,8.0,0.0
2,บางกอกน้อย,134.0,0.0,0.0,189.0,2.0,737.0,0.0,0.0,59.0,1.0,0.0,839.0,0.0,12.0,0.0,0.0,0.0
2,บางกอกใหญ่,312.0,275.0,0.0,23.0,16.0,110.0,1.0,0.0,29.0,9.0,0.0,6.0,3.0,0.0,0.0,54.0,0.0
2,บางกะปิ,1302.0,460.0,40.0,623.0,5.0,0.0,3.0,7.0,1148.0,14.0,0.0,0.0,2.0,0.0,0.0,620.0,25.0
2,บางขุนเทียน,619.0,570.0,0.0,209.0,639.0,14.0,20.0,3.0,136.0,515.0,0.0,0.0,13.0,0.0,11.0,372.0,0.0
2,บางคอแหลม,657.0,572.0,0.0,3.0,456.0,0.0,198.0,1.0,1.0,221.0,43.0,0.0,5.0,0.0,5.0,0.0,0.0
